Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.200 1000 1 1211 auto 128 0.516
1 100 0.300 1000 1 2632 auto 128 1.000
1 100 0.400 1000 1 3081 auto 128 1.000
1 100 0.500 1000 1 3392 auto 128 1.000
1 100 0.600 1000 1 3604 auto 128 1.000
1 100 0.700 1000 1 3770 auto 128 1.000
1 100 0.800 1000 1 3904 auto 128 1.000
1 100 0.900 1000 1 3997 auto 128 1.000
1 100 1.000 1000 1 4215 auto 128 1.000
1 100 0.000 1000 1 650 auto 128 0.000
1 100 0.100 1000 1 707 auto 128 0.000
1 100 0.200 1000 1 1410 auto 128 0.548
1 100 0.300 1000 1 2624 auto 128 1.000
1 100 0.400 1000 1 3067 auto 128 1.000
1 100 0.500 1000 1 3385 auto 128 1.000
1 100 0.600 1000 1 3615 auto 128 1.000
1 100 0.700 1000 1 3772 auto 128 1.000
1 100 0.800 1000 1 3892 auto 128 1.000
1 100 0.900 1000 1 4005 auto 128 1.000
1 100 1.000 1000 1 4228 auto 128 1.000
1 100 0.000 1000 1 646 auto 128 0.000
1 100 0.100 1000 1 702 auto 128 0.000
1 100 0.200 1000 1 1353 auto 128 0.048
1 100 0.300 1000 1 2620 auto 128 1.000
1 100 0.400 1000 1 3076 auto 128 1.000
1 100 0.500 1000 1 3387 auto 128 1.000
1 100 0.600 1000 1 3622 auto 128 1.000
1 100 0.700 1000 1 3772 auto 128 1.000
1 100 0.800 1000 1 3897 auto 128 1.000
1 100 0.900 1000 1 4006 auto 128 1.000
1 100 1.000 1000 1 4238 auto 128 1.000
1 100 0.000 1000 1 661 auto 128 0.000
1 100 0.100 1000 1 733 auto 128 0.000
1 100 0.200 1000 1 952 auto 128 0.000
1 100 0.300 1000 1 2631 auto 128 1.000
1 100 0.400 1000 1 3057 auto 128 1.000
1 100 0.500 1000 1 3396 auto 128 1.000
1 100 0.600 1000 1 3616 auto 128 1.000
1 100 0.700 1000 1 3767 auto 128 1.000
1 100 0.800 1000 1 3883 auto 128 1.000
1 100 0.900 1000 1 3997 auto 128 1.000
1 100 1.000 1000 1 4224 auto 128 1.000
1 100 0.000 1000 1 648 auto 128 0.000
1 100 0.100 1000 1 704 auto 128 0.000
1 100 0.200 1000 1 1195 auto 128 0.000
1 100 0.300 1000 1 2638 auto 128 1.000
1 100 0.400 1000 1 3082 auto 128 1.000
1 100 0.500 1000 1 3398 auto 128 1.000
1 100 0.600 1000 1 3609 auto 128 1.000
1 100 0.700 1000 1 3769 auto 128 1.000
1 100 0.800 1000 1 3898 auto 128 1.000
1 100 0.900 1000 1 3989 auto 128 1.000
1 100 1.000 1000 1 4223 auto 128 1.000
1 100 0.000 1000 1 643 auto 128 0.000
1 100 0.100 1000 1 706 auto 128 0.000
1 100 0.200 1000 1 1402 auto 128 0.000
1 100 0.300 1000 1 2631 auto 128 1.000
1 100 0.400 1000 1 3060 auto 128 1.000
1 100 0.500 1000 1 3386 auto 128 1.000
1 100 0.600 1000 1 3631 auto 128 1.000
1 100 0.700 1000 1 3775 auto 128 1.000
1 100 0.800 1000 1 3902 auto 128 1.000
1 100 0.900 1000 1 4008 auto 128 1.000
1 100 1.000 1000 1 4222 auto 128 1.000
1 100 0.000 1000 1 647 auto 128 0.000
1 100 0.100 1000 1 706 auto 128 0.000
1 100 0.200 1000 1 885 auto 128 0.000
1 100 0.300 1000 1 2631 auto 128 1.000
1 100 0.400 1000 1 3066 auto 128 1.000
1 100 0.500 1000 1 3377 auto 128 1.000
1 100 0.600 1000 1 3619 auto 128 1.000
1 100 0.700 1000 1 3779 auto 128 1.000
1 100 0.800 1000 1 3909 auto 128 1.000
1 100 0.900 1000 1 4003 auto 128 1.000
1 100 1.000 1000 1 4225 auto 128 1.000
1 100 0.000 1000 1 646 auto 128 0.000
1 100 0.100 1000 1 698 auto 128 0.000
1 100 0.200 1000 1 864 auto 128 0.000
1 100 0.300 1000 1 2596 auto 128 1.000
1 100 0.400 1000 1 3082 auto 128 1.000
1 100 0.500 1000 1 3385 auto 128 1.000
1 100 0.600 1000 1 3616 auto 128 1.000
1 100 0.700 1000 1 3778 auto 128 1.000
1 100 0.800 1000 1 3885 auto 128 1.000
1 100 0.900 1000 1 4022 auto 128 1.000
1 100 1.000 1000 1 4225 auto 128 1.000
1 100 0.000 1000 1 647 auto 128 0.000
1 100 0.100 1000 1 729 auto 128 0.000
1 100 0.200 1000 1 1323 auto 128 0.000
1 100 0.300 1000 1 2629 auto 128 1.000
1 100 0.400 1000 1 3070 auto 128 1.000
1 100 0.500 1000 1 3377 auto 128 1.000
1 100 0.600 1000 1 3621 auto 128 1.000
1 100 0.700 1000 1 3781 auto 128 1.000
1 100 0.800 1000 1 3903 auto 128 1.000
1 100 0.900 1000 1 3999 auto 128 1.000
1 100 1.000 1000 1 4224 auto 128 1.000
1 100 0.000 1000 1 635 auto 1 0.000
1 100 0.100 1000 1 692 auto 1 0.000
1 100 0.200 1000 1 1038 auto 1 0.037
1 100 0.300 1000 1 2600 auto 1 1.000
1 100 0.400 1000 1 3027 auto 1 1.000
1 100 0.500 1000 1 3349 auto 1 1.000
1 100 0.600 1000 1 3608 auto 1 1.000
1 100 0.700 1000 1 3762 auto 1 1.000
1 100 0.800 1000 1 3890 auto 1 1.000
1 100 0.900 1000 1 3990 auto 1 1.000
1 100 1.000 1000 1 4206 auto 1 1.000
1 100 0.000 1000 1 640 auto 1 0.000
1 100 0.100 1000 1 697 auto 1 0.000
1 100 0.200 1000 1 1205 auto 1 0.000
1 100 0.300 1000 1 2597 auto 1 1.000
1 100 0.400 1000 1 3060 auto 1 1.000
1 100 0.500 1000 1 3366 auto 1 1.000
1 100 0.600 1000 1 3585 auto 1 1.000
1 100 0.700 1000 1 3751 auto 1 1.000
1 100 0.800 1000 1 3874 auto 1 1.000
1 100 0.900 1000 1 3986 auto 1 1.000
1 100 1.000 1000 1 4194 auto 1 1.000
1 100 0.000 1000 1 641 auto 1 0.000
1 100 0.100 1000 1 709 auto 1 0.000
1 100 0.200 1000 1 1450 auto 1 0.713
1 100 0.300 1000 1 2595 auto 1 1.000
1 100 0.400 1000 1 3038 auto 1 1.000
1 100 0.500 1000 1 3361 auto 1 1.000
1 100 0.600 1000 1 3587 auto 1 1.000
1 100 0.700 1000 1 3753 auto 1 1.000
1 100 0.800 1000 1 3868 auto 1 1.000
1 100 0.900 1000 1 3990 auto 1 1.000
1 100 1.000 1000 1 4197 auto 1 1.000
1 100 0.000 1000 1 640 auto 1 0.000
1 100 0.100 1000 1 710 auto 1 0.000
1 100 0.200 1000 1 987 auto 1 0.000
1 100 0.300 1000 1 2620 auto 1 1.000
1 100 0.400 1000 1 3063 auto 1 1.000
1 100 0.500 1000 1 3366 auto 1 1.000
1 100 0.600 1000 1 3586 auto 1 1.000
1 100 0.700 1000 1 3753 auto 1 1.000
1 100 0.800 1000 1 3871 auto 1 1.000
1 100 0.900 1000 1 3970 auto 1 1.000
1 100 1.000 1000 1 4197 auto 1 1.000
1 100 0.000 1000 1 640 auto 1 0.000
1 100 0.100 1000 1 699 auto 1 0.000
1 100 0.200 1000 1 1190 auto 1 0.000
1 100 0.300 1000 1 2597 auto 1 1.000
1 100 0.400 1000 1 3055 auto 1 1.000
