Flag N d M NbThreads AvgTime Probability
1 10 0.835 1000 1 13 1.000
1 10 0.840 1000 1 13 1.000
1 10 0.845 1000 1 13 1.000
1 10 0.850 1000 1 13 1.000
1 10 0.855 1000 1 13 1.000
1 10 0.860 1000 1 13 1.000
1 10 0.865 1000 1 13 1.000
1 10 0.870 1000 1 13 1.000
1 10 0.875 1000 1 13 1.000
1 10 0.880 1000 1 13 1.000
1 10 0.885 1000 1 13 1.000
1 10 0.890 1000 1 13 1.000
1 10 0.895 1000 1 13 1.000
1 10 0.900 1000 1 14 1.000
1 10 0.905 1000 1 13 1.000
1 10 0.910 1000 1 13 1.000
1 10 0.915 1000 1 13 1.000
1 10 0.920 1000 1 13 1.000
1 10 0.925 1000 1 13 1.000
1 10 0.930 1000 1 13 1.000
1 10 0.935 1000 1 13 1.000
1 10 0.940 1000 1 14 1.000
1 10 0.945 1000 1 13 1.000
1 10 0.950 1000 1 13 1.000
1 10 0.955 1000 1 13 1.000
1 10 0.960 1000 1 13 1.000
1 10 0.965 1000 1 13 1.000
1 10 0.970 1000 1 13 1.000
1 10 0.975 1000 1 13 1.000
1 10 0.980 1000 1 13 1.000
1 10 0.985 1000 1 13 1.000
1 10 0.990 1000 1 13 1.000
1 10 0.995 1000 1 13 1.000
1 10 1.000 1000 1 14 1.000
1 50 0.000 1000 1 73 0.000
1 50 0.005 1000 1 72 0.000
1 50 0.010 1000 1 74 0.000
1 50 0.015 1000 1 72 0.000
1 50 0.020 1000 1 73 0.000
1 50 0.025 1000 1 73 0.000
1 50 0.030 1000 1 75 0.000
1 50 0.035 1000 1 75 0.000
1 50 0.040 1000 1 76 0.000
1 50 0.045 1000 1 77 0.000
1 50 0.050 1000 1 77 0.000
1 50 0.055 1000 1 76 0.000
1 50 0.060 1000 1 80 0.000
1 50 0.065 1000 1 76 0.000
1 50 0.070 1000 1 78 0.000
1 50 0.075 1000 1 77 0.000
1 50 0.080 1000 1 78 0.000
1 50 0.085 1000 1 79 0.000
1 50 0.090 1000 1 81 0.000
1 50 0.095 1000 1 80 0.000
1 50 0.100 1000 1 81 0.000
1 50 0.105 1000 1 82 0.000
1 50 0.110 1000 1 83 0.000
1 50 0.115 1000 1 85 0.000
1 50 0.120 1000 1 84 0.000
1 50 0.125 1000 1 85 0.000
1 50 0.130 1000 1 86 0.000
1 50 0.135 1000 1 86 0.000
1 50 0.140 1000 1 89 0.001
1 50 0.145 1000 1 90 0.000
1 50 0.150 1000 1 92 0.001
1 50 0.155 1000 1 92 0.002
1 50 0.160 1000 1 96 0.008
1 50 0.165 1000 1 98 0.017
1 50 0.170 1000 1 99 0.017
1 50 0.175 1000 1 104 0.038
1 50 0.180 1000 1 110 0.066
1 50 0.185 1000 1 113 0.087
1 50 0.190 1000 1 117 0.142
1 50 0.195 1000 1 124 0.201
1 50 0.200 1000 1 130 0.298
1 50 0.205 1000 1 140 0.387
1 50 0.210 1000 1 148 0.499
1 50 0.215 1000 1 154 0.592
1 50 0.220 1000 1 163 0.678
1 50 0.225 1000 1 172 0.762
1 50 0.230 1000 1 179 0.823
1 50 0.235 1000 1 188 0.895
