Flag N d M NbThreads AvgTime Probability
1 50 0.650 1000 8 973 1.000
1 50 0.660 1000 8 992 1.000
1 50 0.670 1000 8 916 1.000
1 50 0.680 1000 8 887 1.000
1 50 0.690 1000 8 934 1.000
1 50 0.700 1000 8 884 1.000
1 50 0.710 1000 8 940 1.000
1 50 0.720 1000 8 948 1.000
1 50 0.730 1000 8 961 1.000
1 50 0.740 1000 8 861 1.000
1 50 0.750 1000 8 899 1.000
1 50 0.760 1000 8 893 1.000
1 50 0.770 1000 8 894 1.000
1 50 0.780 1000 8 869 1.000
1 50 0.790 1000 8 923 1.000
1 50 0.800 1000 8 917 1.000
1 50 0.810 1000 8 882 1.000
1 50 0.820 1000 8 928 1.000
1 50 0.830 1000 8 923 1.000
1 50 0.840 1000 8 877 1.000
1 50 0.850 1000 8 878 1.000
1 50 0.860 1000 8 921 1.000
1 50 0.870 1000 8 915 1.000
1 50 0.880 1000 8 805 1.000
1 50 0.890 1000 8 813 1.000
1 50 0.900 1000 8 800 1.000
1 50 0.910 1000 8 853 1.000
1 50 0.920 1000 8 861 1.000
1 50 0.930 1000 8 884 1.000
1 50 0.940 1000 8 803 1.000
1 50 0.950 1000 8 874 1.000
1 50 0.960 1000 8 890 1.000
1 50 0.970 1000 8 825 1.000
1 50 0.980 1000 8 886 1.000
1 50 0.990 1000 8 878 1.000
1 50 1.000 1000 8 930 1.000
1 100 0.000 1000 8 1964 0.000
1 100 0.010 1000 8 1884 0.000
1 100 0.020 1000 8 1887 0.000
1 100 0.030 1000 8 2066 0.000
1 100 0.040 1000 8 2065 0.000
1 100 0.050 1000 8 1991 0.000
1 100 0.060 1000 8 1953 0.000
1 100 0.070 1000 8 2069 0.000
1 100 0.080 1000 8 2096 0.000
1 100 0.090 1000 8 3691 0.000
1 100 0.100 1000 8 1981 0.000
1 100 0.110 1000 8 2131 0.000
1 100 0.120 1000 8 3426 0.000
1 100 0.130 1000 8 2049 0.000
1 100 0.140 1000 8 2102 0.000
1 100 0.150 1000 8 3766 0.000
1 100 0.160 1000 8 2124 0.000
1 100 0.170 1000 8 3699 0.000
1 100 0.180 1000 8 2092 0.008
