Flag N d M NbThreads AvgTime Probability
1 200 0.220 1000 1 2690 0.909
1 200 0.240 1000 1 3221 1.000
1 200 0.260 1000 1 3451 1.000
1 200 0.280 1000 1 3820 1.000
1 200 0.300 1000 1 4630 1.000
1 200 0.320 1000 1 4814 1.000
1 200 0.340 1000 1 4445 1.000
1 200 0.360 1000 1 4341 1.000
1 200 0.380 1000 1 4435 1.000
1 200 0.400 1000 1 4822 1.000
1 200 0.420 1000 1 4652 1.000
1 200 0.440 1000 1 4914 1.000
1 200 0.460 1000 1 4792 1.000
1 200 0.480 1000 1 4893 1.000
1 200 0.500 1000 1 4921 1.000
1 200 0.520 1000 1 5075 1.000
1 200 0.540 1000 1 5002 1.000
1 200 0.560 1000 1 5097 1.000
1 200 0.580 1000 1 5221 1.000
1 200 0.600 1000 1 5198 1.000
1 200 0.620 1000 1 5232 1.000
1 200 0.640 1000 1 5318 1.000
1 200 0.660 1000 1 5350 1.000
1 200 0.680 1000 1 5481 1.000
1 200 0.700 1000 1 5435 1.000
1 200 0.720 1000 1 5524 1.000
1 200 0.740 1000 1 5481 1.000
1 200 0.760 1000 1 5598 1.000
1 200 0.780 1000 1 5612 1.000
1 200 0.800 1000 1 5732 1.000
1 200 0.820 1000 1 5580 1.000
1 200 0.840 1000 1 5647 1.000
1 200 0.860 1000 1 5637 1.000
1 200 0.880 1000 1 5664 1.000
1 200 0.900 1000 1 5781 1.000
1 200 0.920 1000 1 5698 1.000
1 200 0.940 1000 1 5744 1.000
1 200 0.960 1000 1 6724 1.000
1 200 0.980 1000 1 5887 1.000
1 200 1.000 1000 1 6137 1.000
