Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.300 1000 1 2580 dynamic 256 1.000
1 100 0.400 1000 1 3043 dynamic 256 1.000
1 100 0.500 1000 1 3346 dynamic 256 1.000
1 100 0.600 1000 1 3578 dynamic 256 1.000
1 100 0.700 1000 1 3728 dynamic 256 1.000
1 100 0.800 1000 1 3855 dynamic 256 1.000
1 100 0.900 1000 1 3965 dynamic 256 1.000
1 100 1.000 1000 1 4186 dynamic 256 1.000
1 100 0.000 1000 1 636 dynamic 2 0.000
1 100 0.100 1000 1 733 dynamic 2 0.000
1 100 0.200 1000 1 1162 dynamic 2 0.000
1 100 0.300 1000 1 2596 dynamic 2 1.000
1 100 0.400 1000 1 3038 dynamic 2 1.000
1 100 0.500 1000 1 3331 dynamic 2 1.000
1 100 0.600 1000 1 3582 dynamic 2 1.000
1 100 0.700 1000 1 3752 dynamic 2 1.000
1 100 0.800 1000 1 3864 dynamic 2 1.000
1 100 0.900 1000 1 3957 dynamic 2 1.000
1 100 1.000 1000 1 4182 dynamic 2 1.000
1 100 0.000 1000 1 646 dynamic 4 0.000
1 100 0.100 1000 1 707 dynamic 4 0.000
1 100 0.200 1000 1 927 dynamic 4 0.000
1 100 0.300 1000 1 2613 dynamic 4 1.000
1 100 0.400 1000 1 3054 dynamic 4 1.000
1 100 0.500 1000 1 3367 dynamic 4 1.000
1 100 0.600 1000 1 3599 dynamic 4 1.000
1 100 0.700 1000 1 3766 dynamic 4 1.000
1 100 0.800 1000 1 3885 dynamic 4 1.000
1 100 0.900 1000 1 3988 dynamic 4 1.000
1 100 1.000 1000 1 4220 dynamic 4 1.000
1 100 0.000 1000 1 638 dynamic 512 0.000
1 100 0.100 1000 1 706 dynamic 512 0.000
1 100 0.200 1000 1 867 dynamic 512 0.000
1 100 0.300 1000 1 2573 dynamic 512 1.000
1 100 0.400 1000 1 3034 dynamic 512 1.000
1 100 0.500 1000 1 3353 dynamic 512 1.000
1 100 0.600 1000 1 3579 dynamic 512 1.000
1 100 0.700 1000 1 3721 dynamic 512 1.000
1 100 0.800 1000 1 3858 dynamic 512 1.000
1 100 0.900 1000 1 3976 dynamic 512 1.000
1 100 1.000 1000 1 4202 dynamic 512 1.000
1 100 0.000 1000 1 636 dynamic 8 0.000
1 100 0.100 1000 1 694 dynamic 8 0.000
1 100 0.200 1000 1 1002 dynamic 8 0.000
1 100 0.300 1000 1 2589 dynamic 8 1.000
1 100 0.400 1000 1 3032 dynamic 8 1.000
1 100 0.500 1000 1 3359 dynamic 8 1.000
1 100 0.600 1000 1 3571 dynamic 8 1.000
1 100 0.700 1000 1 3747 dynamic 8 1.000
1 100 0.800 1000 1 3858 dynamic 8 1.000
1 100 0.900 1000 1 3948 dynamic 8 1.000
1 100 1.000 1000 1 4182 dynamic 8 1.000
1 100 0.000 1000 1 532 guided 1000 0.000
