Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 2 326 dynamic 4 0.000
1 100 0.100 1000 2 361 dynamic 4 0.000
1 100 0.200 1000 2 720 dynamic 4 1.000
1 100 0.300 1000 2 1623 dynamic 4 1.000
1 100 0.400 1000 2 1914 dynamic 4 1.000
1 100 0.500 1000 2 2130 dynamic 4 1.000
1 100 0.600 1000 2 2272 dynamic 4 1.000
1 100 0.700 1000 2 2373 dynamic 4 1.000
1 100 0.800 1000 2 2453 dynamic 4 1.000
1 100 0.900 1000 2 2522 dynamic 4 1.000
1 100 1.000 1000 2 2611 dynamic 4 1.000
