Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 180 guided 128 0.000
1 100 0.100 1000 4 197 guided 128 0.000
1 100 0.200 1000 4 511 guided 128 0.457
1 100 0.300 1000 4 894 guided 128 1.000
1 100 0.400 1000 4 1057 guided 128 1.000
1 100 0.500 1000 4 1153 guided 128 1.000
1 100 0.600 1000 4 1222 guided 128 1.000
1 100 0.700 1000 4 1299 guided 128 1.000
1 100 0.800 1000 4 1340 guided 128 1.000
1 100 0.900 1000 4 1373 guided 128 1.000
1 100 1.000 1000 4 1435 guided 128 1.000
