Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 168 guided 250 0.000
1 100 0.100 1000 4 183 guided 250 0.000
1 100 0.200 1000 4 480 guided 250 0.250
1 100 0.300 1000 4 836 guided 250 1.000
1 100 0.400 1000 4 974 guided 250 1.000
1 100 0.500 1000 4 1079 guided 250 1.000
1 100 0.600 1000 4 1150 guided 250 1.000
1 100 0.700 1000 4 1201 guided 250 1.000
1 100 0.800 1000 4 1246 guided 250 1.000
1 100 0.900 1000 4 1275 guided 250 1.000
1 100 1.000 1000 4 1322 guided 250 1.000
