Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 646 dynamic 512 0.000
1 100 0.100 1000 1 715 dynamic 512 0.000
1 100 0.200 1000 1 1019 dynamic 512 0.000
1 100 0.300 1000 1 2614 dynamic 512 1.000
1 100 0.400 1000 1 3071 dynamic 512 1.000
1 100 0.500 1000 1 3389 dynamic 512 1.000
1 100 0.600 1000 1 3601 dynamic 512 1.000
1 100 0.700 1000 1 3762 dynamic 512 1.000
1 100 0.800 1000 1 3884 dynamic 512 1.000
1 100 0.900 1000 1 3990 dynamic 512 1.000
1 100 1.000 1000 1 4228 dynamic 512 1.000
