Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 646 guided 128 0.000
1 100 0.100 1000 1 714 guided 128 0.000
1 100 0.200 1000 1 1194 guided 128 0.172
1 100 0.300 1000 1 2631 guided 128 1.000
1 100 0.400 1000 1 3070 guided 128 1.000
1 100 0.500 1000 1 3402 guided 128 1.000
1 100 0.600 1000 1 3631 guided 128 1.000
1 100 0.700 1000 1 3797 guided 128 1.000
1 100 0.800 1000 1 3901 guided 128 1.000
1 100 0.900 1000 1 3992 guided 128 1.000
1 100 1.000 1000 1 4245 guided 128 1.000
