Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 649 dynamic 4 0.000
1 100 0.100 1000 1 727 dynamic 4 0.000
1 100 0.200 1000 1 1395 dynamic 4 0.595
1 100 0.300 1000 1 2628 dynamic 4 1.000
1 100 0.400 1000 1 3048 dynamic 4 1.000
1 100 0.500 1000 1 3377 dynamic 4 1.000
1 100 0.600 1000 1 3603 dynamic 4 1.000
1 100 0.700 1000 1 3763 dynamic 4 1.000
1 100 0.800 1000 1 3873 dynamic 4 1.000
1 100 0.900 1000 1 3987 dynamic 4 1.000
1 100 1.000 1000 1 4231 dynamic 4 1.000
