Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 648 dynamic 8 0.000
1 100 0.100 1000 1 720 dynamic 8 0.000
1 100 0.200 1000 1 1298 dynamic 8 0.486
1 100 0.300 1000 1 2620 dynamic 8 1.000
1 100 0.400 1000 1 3053 dynamic 8 1.000
1 100 0.500 1000 1 3384 dynamic 8 1.000
1 100 0.600 1000 1 3612 dynamic 8 1.000
1 100 0.700 1000 1 3784 dynamic 8 1.000
1 100 0.800 1000 1 3896 dynamic 8 1.000
1 100 0.900 1000 1 3998 dynamic 8 1.000
1 100 1.000 1000 1 4234 dynamic 8 1.000
