Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 168 guided 64 0.000
1 100 0.100 1000 4 187 guided 64 0.000
1 100 0.200 1000 4 440 guided 64 0.235
1 100 0.300 1000 4 838 guided 64 1.000
1 100 0.400 1000 4 973 guided 64 1.000
1 100 0.500 1000 4 1080 guided 64 1.000
1 100 0.600 1000 4 1162 guided 64 1.000
1 100 0.700 1000 4 1215 guided 64 1.000
1 100 0.800 1000 4 1251 guided 64 1.000
1 100 0.900 1000 4 1285 guided 64 1.000
1 100 1.000 1000 4 1331 guided 64 1.000
