Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 164 dynamic 1 0.000
1 100 0.100 1000 4 181 dynamic 1 0.000
1 100 0.200 1000 4 293 dynamic 1 0.000
1 100 0.300 1000 4 828 dynamic 1 1.000
1 100 0.400 1000 4 974 dynamic 1 1.000
1 100 0.500 1000 4 1075 dynamic 1 1.000
1 100 0.600 1000 4 1151 dynamic 1 1.000
1 100 0.700 1000 4 1204 dynamic 1 1.000
1 100 0.800 1000 4 1243 dynamic 1 1.000
1 100 0.900 1000 4 1272 dynamic 1 1.000
1 100 1.000 1000 4 1321 dynamic 1 1.000
