Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 2 324 dynamic 1 0.000
1 100 0.100 1000 2 366 dynamic 1 0.000
1 100 0.200 1000 2 499 dynamic 1 0.000
1 100 0.300 1000 2 1628 dynamic 1 1.000
1 100 0.400 1000 2 1909 dynamic 1 1.000
1 100 0.500 1000 2 2114 dynamic 1 1.000
1 100 0.600 1000 2 2260 dynamic 1 1.000
1 100 0.700 1000 2 2369 dynamic 1 1.000
1 100 0.800 1000 2 2445 dynamic 1 1.000
1 100 0.900 1000 2 2505 dynamic 1 1.000
1 100 1.000 1000 2 2600 dynamic 1 1.000
