Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 2 325 static 500 0.000
1 100 0.100 1000 2 364 static 500 0.000
1 100 0.200 1000 2 586 static 500 0.000
1 100 0.300 1000 2 1640 static 500 1.000
1 100 0.400 1000 2 1919 static 500 1.000
1 100 0.500 1000 2 2131 static 500 1.000
1 100 0.600 1000 2 2275 static 500 1.000
1 100 0.700 1000 2 2384 static 500 1.000
1 100 0.800 1000 2 2461 static 500 1.000
1 100 0.900 1000 2 2523 static 500 1.000
1 100 1.000 1000 2 2616 static 500 1.000
