Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 636 dynamic 8 0.000
1 100 0.100 1000 1 694 dynamic 8 0.000
1 100 0.200 1000 1 1002 dynamic 8 0.000
1 100 0.300 1000 1 2589 dynamic 8 1.000
1 100 0.400 1000 1 3032 dynamic 8 1.000
1 100 0.500 1000 1 3359 dynamic 8 1.000
1 100 0.600 1000 1 3571 dynamic 8 1.000
1 100 0.700 1000 1 3747 dynamic 8 1.000
1 100 0.800 1000 1 3858 dynamic 8 1.000
1 100 0.900 1000 1 3948 dynamic 8 1.000
1 100 1.000 1000 1 4182 dynamic 8 1.000
