Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 636 dynamic 2 0.000
1 100 0.100 1000 1 733 dynamic 2 0.000
1 100 0.200 1000 1 1162 dynamic 2 0.000
1 100 0.300 1000 1 2596 dynamic 2 1.000
1 100 0.400 1000 1 3038 dynamic 2 1.000
1 100 0.500 1000 1 3331 dynamic 2 1.000
1 100 0.600 1000 1 3582 dynamic 2 1.000
1 100 0.700 1000 1 3752 dynamic 2 1.000
1 100 0.800 1000 1 3864 dynamic 2 1.000
1 100 0.900 1000 1 3957 dynamic 2 1.000
1 100 1.000 1000 1 4182 dynamic 2 1.000
