Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 172 dynamic 64 0.000
1 100 0.100 1000 4 192 dynamic 64 0.000
1 100 0.200 1000 4 412 dynamic 64 0.192
1 100 0.300 1000 4 858 dynamic 64 1.000
1 100 0.400 1000 4 997 dynamic 64 1.000
1 100 0.500 1000 4 1107 dynamic 64 1.000
1 100 0.600 1000 4 1177 dynamic 64 1.000
1 100 0.700 1000 4 1232 dynamic 64 1.000
1 100 0.800 1000 4 1273 dynamic 64 1.000
1 100 0.900 1000 4 1312 dynamic 64 1.000
1 100 1.000 1000 4 1366 dynamic 64 1.000
