Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 173 static 128 0.000
1 100 0.100 1000 4 191 static 128 0.000
1 100 0.200 1000 4 338 static 128 0.000
1 100 0.300 1000 4 849 static 128 1.000
1 100 0.400 1000 4 997 static 128 1.000
1 100 0.500 1000 4 1111 static 128 1.000
1 100 0.600 1000 4 1181 static 128 1.000
1 100 0.700 1000 4 1232 static 128 1.000
1 100 0.800 1000 4 1275 static 128 1.000
1 100 0.900 1000 4 1311 static 128 1.000
1 100 1.000 1000 4 1366 static 128 1.000
