Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 176 guided 32 0.000
1 100 0.100 1000 4 189 guided 32 0.000
1 100 0.200 1000 4 423 guided 32 0.473
1 100 0.300 1000 4 872 guided 32 1.000
1 100 0.400 1000 4 1023 guided 32 1.000
1 100 0.500 1000 4 1129 guided 32 1.000
1 100 0.600 1000 4 1189 guided 32 1.000
1 100 0.700 1000 4 1259 guided 32 1.000
1 100 0.800 1000 4 1304 guided 32 1.000
1 100 0.900 1000 4 1332 guided 32 1.000
1 100 1.000 1000 4 1390 guided 32 1.000
