Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 638 guided 1000 0.000
1 100 0.100 1000 1 706 guided 1000 0.000
1 100 0.200 1000 1 1472 guided 1000 1.000
1 100 0.300 1000 1 2593 guided 1000 1.000
1 100 0.400 1000 1 3064 guided 1000 1.000
1 100 0.500 1000 1 3384 guided 1000 1.000
1 100 0.600 1000 1 3608 guided 1000 1.000
1 100 0.700 1000 1 3753 guided 1000 1.000
1 100 0.800 1000 1 3892 guided 1000 1.000
1 100 0.900 1000 1 3988 guided 1000 1.000
1 100 1.000 1000 1 4236 guided 1000 1.000
