Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 2 331 dynamic 128 0.000
1 100 0.100 1000 2 368 dynamic 128 0.000
1 100 0.200 1000 2 692 dynamic 128 0.000
1 100 0.300 1000 2 1653 dynamic 128 1.000
1 100 0.400 1000 2 1936 dynamic 128 1.000
1 100 0.500 1000 2 2152 dynamic 128 1.000
1 100 0.600 1000 2 2304 dynamic 128 1.000
1 100 0.700 1000 2 2408 dynamic 128 1.000
1 100 0.800 1000 2 2492 dynamic 128 1.000
1 100 0.900 1000 2 2558 dynamic 128 1.000
1 100 1.000 1000 2 2652 dynamic 128 1.000
