Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 8 93 dynamic 125 0.000
1 100 0.100 1000 8 99 dynamic 125 0.000
1 100 0.200 1000 8 225 dynamic 125 0.125
1 100 0.300 1000 8 439 dynamic 125 1.000
1 100 0.400 1000 8 512 dynamic 125 1.000
1 100 0.500 1000 8 567 dynamic 125 1.000
1 100 0.600 1000 8 596 dynamic 125 1.000
1 100 0.700 1000 8 627 dynamic 125 1.000
1 100 0.800 1000 8 647 dynamic 125 1.000
1 100 0.900 1000 8 662 dynamic 125 1.000
1 100 1.000 1000 8 697 dynamic 125 1.000
