Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 647 static 1000 0.000
1 100 0.100 1000 1 722 static 1000 0.000
1 100 0.200 1000 1 1122 static 1000 0.070
1 100 0.300 1000 1 2642 static 1000 1.000
1 100 0.400 1000 1 3060 static 1000 1.000
1 100 0.500 1000 1 3376 static 1000 1.000
1 100 0.600 1000 1 3597 static 1000 1.000
1 100 0.700 1000 1 3770 static 1000 1.000
1 100 0.800 1000 1 3873 static 1000 1.000
1 100 0.900 1000 1 4000 static 1000 1.000
1 100 1.000 1000 1 4231 static 1000 1.000
