Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 325 static 250 0.000
1 100 0.100 1000 4 324 static 250 0.000
1 100 0.200 1000 4 841 static 250 0.388
1 100 0.300 1000 4 920 static 250 1.000
1 100 0.400 1000 4 1017 static 250 1.000
1 100 0.500 1000 4 1107 static 250 1.000
1 100 0.600 1000 4 1188 static 250 1.000
1 100 0.700 1000 4 1285 static 250 1.000
1 100 0.800 1000 4 1312 static 250 1.000
1 100 0.900 1000 4 1304 static 250 1.000
1 100 1.000 1000 4 1367 static 250 1.000
