Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 2 327 guided 128 0.000
1 100 0.100 1000 2 366 guided 128 0.000
1 100 0.200 1000 2 634 guided 128 0.296
1 100 0.300 1000 2 1629 guided 128 1.000
1 100 0.400 1000 2 1918 guided 128 1.000
1 100 0.500 1000 2 2134 guided 128 1.000
1 100 0.600 1000 2 2284 guided 128 1.000
1 100 0.700 1000 2 2386 guided 128 1.000
1 100 0.800 1000 2 2464 guided 128 1.000
1 100 0.900 1000 2 2522 guided 128 1.000
1 100 1.000 1000 2 2618 guided 128 1.000
