Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 642 dynamic 128 0.000
1 100 0.100 1000 1 707 dynamic 128 0.000
1 100 0.200 1000 1 1448 dynamic 128 0.545
1 100 0.300 1000 1 2587 dynamic 128 1.000
1 100 0.400 1000 1 3062 dynamic 128 1.000
1 100 0.500 1000 1 3349 dynamic 128 1.000
1 100 0.600 1000 1 3584 dynamic 128 1.000
1 100 0.700 1000 1 3763 dynamic 128 1.000
1 100 0.800 1000 1 3872 dynamic 128 1.000
1 100 0.900 1000 1 3979 dynamic 128 1.000
1 100 1.000 1000 1 4199 dynamic 128 1.000
