Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 634 guided 512 0.000
1 100 0.100 1000 1 700 guided 512 0.000
1 100 0.200 1000 1 1254 guided 512 0.136
1 100 0.300 1000 1 2579 guided 512 1.000
1 100 0.400 1000 1 3028 guided 512 1.000
1 100 0.500 1000 1 3336 guided 512 1.000
1 100 0.600 1000 1 3569 guided 512 1.000
1 100 0.700 1000 1 3735 guided 512 1.000
1 100 0.800 1000 1 3855 guided 512 1.000
1 100 0.900 1000 1 3949 guided 512 1.000
1 100 1.000 1000 1 4170 guided 512 1.000
