Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 2 344 static 64 0.000
1 100 0.100 1000 2 371 static 64 0.000
1 100 0.200 1000 2 721 static 64 0.000
1 100 0.300 1000 2 1718 static 64 1.000
1 100 0.400 1000 2 1994 static 64 1.000
1 100 0.500 1000 2 2211 static 64 1.000
1 100 0.600 1000 2 2367 static 64 1.000
1 100 0.700 1000 2 2478 static 64 1.000
1 100 0.800 1000 2 2558 static 64 1.000
1 100 0.900 1000 2 2617 static 64 1.000
1 100 1.000 1000 2 2739 static 64 1.000
