Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 640 guided 256 0.000
1 100 0.100 1000 1 715 guided 256 0.000
1 100 0.200 1000 1 1226 guided 256 0.697
1 100 0.300 1000 1 2624 guided 256 1.000
1 100 0.400 1000 1 3075 guided 256 1.000
1 100 0.500 1000 1 3392 guided 256 1.000
1 100 0.600 1000 1 3625 guided 256 1.000
1 100 0.700 1000 1 3766 guided 256 1.000
1 100 0.800 1000 1 3876 guided 256 1.000
1 100 0.900 1000 1 4008 guided 256 1.000
1 100 1.000 1000 1 4225 guided 256 1.000
