Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 638 dynamic 128 0.000
1 100 0.100 1000 1 710 dynamic 128 0.000
1 100 0.200 1000 1 861 dynamic 128 0.000
1 100 0.300 1000 1 2576 dynamic 128 1.000
1 100 0.400 1000 1 3039 dynamic 128 1.000
1 100 0.500 1000 1 3349 dynamic 128 1.000
1 100 0.600 1000 1 3580 dynamic 128 1.000
1 100 0.700 1000 1 3727 dynamic 128 1.000
1 100 0.800 1000 1 3850 dynamic 128 1.000
1 100 0.900 1000 1 3971 dynamic 128 1.000
1 100 1.000 1000 1 4186 dynamic 128 1.000
