Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 638 dynamic 256 0.000
1 100 0.100 1000 1 698 dynamic 256 0.000
1 100 0.200 1000 1 1246 dynamic 256 0.550
1 100 0.300 1000 1 2580 dynamic 256 1.000
1 100 0.400 1000 1 3043 dynamic 256 1.000
1 100 0.500 1000 1 3346 dynamic 256 1.000
1 100 0.600 1000 1 3578 dynamic 256 1.000
1 100 0.700 1000 1 3728 dynamic 256 1.000
1 100 0.800 1000 1 3855 dynamic 256 1.000
1 100 0.900 1000 1 3965 dynamic 256 1.000
1 100 1.000 1000 1 4186 dynamic 256 1.000
