Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 8 90 dynamic 125 0.000
1 100 0.100 1000 8 97 dynamic 125 0.000
1 100 0.200 1000 8 215 dynamic 125 0.125
1 100 0.300 1000 8 436 dynamic 125 1.000
1 100 0.400 1000 8 516 dynamic 125 1.000
1 100 0.500 1000 8 569 dynamic 125 1.000
1 100 0.600 1000 8 604 dynamic 125 1.000
1 100 0.700 1000 8 626 dynamic 125 1.000
1 100 0.800 1000 8 641 dynamic 125 1.000
1 100 0.900 1000 8 656 dynamic 125 1.000
1 100 1.000 1000 8 692 dynamic 125 1.000
