Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 8 92 static 125 0.000
1 100 0.100 1000 8 97 static 125 0.000
1 100 0.200 1000 8 210 static 125 0.125
1 100 0.300 1000 8 438 static 125 1.000
1 100 0.400 1000 8 527 static 125 1.000
1 100 0.500 1000 8 657 static 125 1.000
1 100 0.600 1000 8 603 static 125 1.000
1 100 0.700 1000 8 625 static 125 1.000
1 100 0.800 1000 8 645 static 125 1.000
1 100 0.900 1000 8 659 static 125 1.000
1 100 1.000 1000 8 693 static 125 1.000
