Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 173 static 64 0.000
1 100 0.100 1000 4 192 static 64 0.000
1 100 0.200 1000 4 299 static 64 0.000
1 100 0.300 1000 4 862 static 64 1.000
1 100 0.400 1000 4 1004 static 64 1.000
1 100 0.500 1000 4 1106 static 64 1.000
1 100 0.600 1000 4 1182 static 64 1.000
1 100 0.700 1000 4 1237 static 64 1.000
1 100 0.800 1000 4 1278 static 64 1.000
1 100 0.900 1000 4 1307 static 64 1.000
1 100 1.000 1000 4 1357 static 64 1.000
