Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 171 static 64 0.000
1 100 0.100 1000 4 191 static 64 0.000
1 100 0.200 1000 4 431 static 64 0.230
1 100 0.300 1000 4 872 static 64 1.000
1 100 0.400 1000 4 1008 static 64 1.000
1 100 0.500 1000 4 1109 static 64 1.000
1 100 0.600 1000 4 1192 static 64 1.000
1 100 0.700 1000 4 1238 static 64 1.000
1 100 0.800 1000 4 1277 static 64 1.000
1 100 0.900 1000 4 1309 static 64 1.000
1 100 1.000 1000 4 1361 static 64 1.000
