Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 181 guided 128 0.000
1 100 0.100 1000 4 194 guided 128 0.000
1 100 0.200 1000 4 333 guided 128 0.192
1 100 0.300 1000 4 888 guided 128 1.000
1 100 0.400 1000 4 1054 guided 128 1.000
1 100 0.500 1000 4 1182 guided 128 1.000
1 100 0.600 1000 4 1246 guided 128 1.000
1 100 0.700 1000 4 1292 guided 128 1.000
1 100 0.800 1000 4 1333 guided 128 1.000
1 100 0.900 1000 4 1369 guided 128 1.000
1 100 1.000 1000 4 1423 guided 128 1.000
