Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 671 static 128 0.000
1 100 0.100 1000 1 734 static 128 0.000
1 100 0.200 1000 1 1390 static 128 0.000
1 100 0.300 1000 1 2688 static 128 1.000
1 100 0.400 1000 1 3107 static 128 1.000
1 100 0.500 1000 1 3452 static 128 1.000
1 100 0.600 1000 1 3669 static 128 1.000
1 100 0.700 1000 1 3844 static 128 1.000
1 100 0.800 1000 1 3972 static 128 1.000
1 100 0.900 1000 1 4085 static 128 1.000
1 100 1.000 1000 1 4276 static 128 1.000
