Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 2 326 dynamic 500 0.000
1 100 0.100 1000 2 374 dynamic 500 0.000
1 100 0.200 1000 2 806 dynamic 500 0.500
1 100 0.300 1000 2 1636 dynamic 500 1.000
1 100 0.400 1000 2 1931 dynamic 500 1.000
1 100 0.500 1000 2 2133 dynamic 500 1.000
1 100 0.600 1000 2 2274 dynamic 500 1.000
1 100 0.700 1000 2 2382 dynamic 500 1.000
1 100 0.800 1000 2 2460 dynamic 500 1.000
1 100 0.900 1000 2 2520 dynamic 500 1.000
1 100 1.000 1000 2 2614 dynamic 500 1.000
