Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 649 static 256 0.000
1 100 0.100 1000 1 724 static 256 0.000
1 100 0.200 1000 1 1137 static 256 0.000
1 100 0.300 1000 1 2636 static 256 1.000
1 100 0.400 1000 1 3086 static 256 1.000
1 100 0.500 1000 1 3408 static 256 1.000
1 100 0.600 1000 1 3648 static 256 1.000
1 100 0.700 1000 1 3796 static 256 1.000
1 100 0.800 1000 1 3910 static 256 1.000
1 100 0.900 1000 1 4045 static 256 1.000
1 100 1.000 1000 1 4264 static 256 1.000
