Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 168 dynamic 4 0.000
1 100 0.100 1000 4 184 dynamic 4 0.000
1 100 0.200 1000 4 306 dynamic 4 0.000
1 100 0.300 1000 4 829 dynamic 4 1.000
1 100 0.400 1000 4 978 dynamic 4 1.000
1 100 0.500 1000 4 1087 dynamic 4 1.000
1 100 0.600 1000 4 1176 dynamic 4 1.000
1 100 0.700 1000 4 1223 dynamic 4 1.000
1 100 0.800 1000 4 1254 dynamic 4 1.000
1 100 0.900 1000 4 1284 dynamic 4 1.000
1 100 1.000 1000 4 1336 dynamic 4 1.000
