Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 170 static 128 0.000
1 100 0.100 1000 4 185 static 128 0.000
1 100 0.200 1000 4 517 static 128 0.512
1 100 0.300 1000 4 856 static 128 1.000
1 100 0.400 1000 4 998 static 128 1.000
1 100 0.500 1000 4 1107 static 128 1.000
1 100 0.600 1000 4 1188 static 128 1.000
1 100 0.700 1000 4 1238 static 128 1.000
1 100 0.800 1000 4 1279 static 128 1.000
1 100 0.900 1000 4 1310 static 128 1.000
1 100 1.000 1000 4 1353 static 128 1.000
