Flag N d M NbThreads AvgTime Probability
1 10 0.440 1000 2 19 1.000
1 10 0.460 1000 2 20 1.000
1 10 0.480 1000 2 19 1.000
1 10 0.500 1000 2 20 1.000
1 10 0.520 1000 2 20 1.000
1 10 0.540 1000 2 21 1.000
1 10 0.560 1000 2 22 1.000
1 10 0.580 1000 2 21 1.000
1 10 0.600 1000 2 22 1.000
1 10 0.620 1000 2 21 1.000
1 10 0.640 1000 2 21 1.000
1 10 0.660 1000 2 22 1.000
1 10 0.680 1000 2 22 1.000
1 10 0.700 1000 2 22 1.000
1 10 0.720 1000 2 22 1.000
1 10 0.740 1000 2 23 1.000
1 10 0.760 1000 2 22 1.000
1 10 0.780 1000 2 23 1.000
1 10 0.800 1000 2 23 1.000
1 10 0.820 1000 2 23 1.000
1 10 0.840 1000 2 23 1.000
1 10 0.860 1000 2 23 1.000
1 10 0.880 1000 2 23 1.000
1 10 0.900 1000 2 23 1.000
1 10 0.920 1000 2 24 1.000
1 10 0.940 1000 2 24 1.000
1 10 0.960 1000 2 24 1.000
1 10 0.980 1000 2 24 1.000
1 10 1.000 1000 2 24 1.000
1 10 0.000 10000 2 48 0.000
1 10 0.020 10000 2 52 0.000
1 10 0.040 10000 2 49 0.000
1 10 0.060 10000 2 49 0.000
1 10 0.080 10000 2 53 0.000
1 10 0.100 10000 2 50 0.000
1 10 0.120 10000 2 74 0.000
1 10 0.140 10000 2 98 0.000
1 10 0.160 10000 2 118 0.500
1 10 0.180 10000 2 104 0.000
1 10 0.200 10000 2 130 0.000
1 10 0.220 10000 2 136 0.000
1 10 0.240 10000 2 149 0.000
1 10 0.260 10000 2 151 1.000
1 10 0.280 10000 2 155 0.500
1 10 0.300 10000 2 159 1.000
1 10 0.320 10000 2 157 0.500
1 10 0.340 10000 2 169 1.000
1 10 0.360 10000 2 183 1.000
1 10 0.380 10000 2 192 1.000
1 10 0.400 10000 2 181 1.000
1 10 0.420 10000 2 184 1.000
1 10 0.440 10000 2 187 1.000
1 10 0.460 10000 2 189 1.000
1 10 0.480 10000 2 201 1.000
1 10 0.500 10000 2 209 1.000
1 10 0.520 10000 2 201 1.000
1 10 0.540 10000 2 203 1.000
1 10 0.560 10000 2 214 1.000
1 10 0.580 10000 2 212 1.000
1 10 0.600 10000 2 213 1.000
1 10 0.620 10000 2 216 1.000
1 10 0.640 10000 2 222 1.000
1 10 0.660 10000 2 219 1.000
1 10 0.680 10000 2 220 1.000
1 10 0.700 10000 2 222 1.000
1 10 0.720 10000 2 225 1.000
1 10 0.740 10000 2 235 1.000
1 10 0.760 10000 2 223 1.000
1 10 0.780 10000 2 229 1.000
1 10 0.800 10000 2 227 1.000
1 10 0.820 10000 2 230 1.000
1 10 0.840 10000 2 235 1.000
1 10 0.860 10000 2 239 1.000
1 10 0.880 10000 2 236 1.000
1 10 0.900 10000 2 240 1.000
1 10 0.920 10000 2 234 1.000
1 10 0.940 10000 2 235 1.000
1 10 0.960 10000 2 241 1.000
1 10 0.980 10000 2 241 1.000
1 10 1.000 10000 2 241 1.000
1 50 0.000 1 2 0 0.000
1 50 0.020 1 2 0 0.000
1 50 0.040 1 2 0 0.000
1 50 0.060 1 2 0 0.000
1 50 0.080 1 2 0 0.000
1 50 0.100 1 2 0 0.000
1 50 0.120 1 2 0 0.000
1 50 0.140 1 2 0 0.000
1 50 0.160 1 2 0 0.000
1 50 0.180 1 2 0 1.000
1 50 0.200 1 2 0 0.000
1 50 0.220 1 2 1 1.000
1 50 0.240 1 2 1 1.000
1 50 0.260 1 2 1 1.000
1 50 0.280 1 2 1 1.000
1 50 0.300 1 2 1 1.000
1 50 0.320 1 2 1 1.000
1 50 0.340 1 2 1 1.000
1 50 0.360 1 2 1 1.000
1 50 0.380 1 2 1 1.000
1 50 0.400 1 2 1 1.000
